,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
239,Washington,Percent of adults aged 18 years and older who have an overweight classification,34.9,Income,"$15,000 - $24,999"
240,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,32.2,Race/Ethnicity,Non-Hispanic Black
241,Delaware,Percent of adults who engage in no leisure-time physical activity,32.8,Income,"Less than $15,000"
242,Washington,Percent of adults who report consuming vegetables less than one time daily,27.6,Race/Ethnicity,Non-Hispanic Black
243,North Dakota,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.7,Income,"$50,000 - $74,999"
244,Arkansas,Percent of adults aged 18 years and older who have obesity,36.1,Education,College graduate
245,Virginia,Percent of adults who report consuming vegetables less than one time daily,15.7,Age (years),35 - 44
246,South Dakota,Percent of adults aged 18 years and older who have obesity,31.8,Income,"Less than $15,000"
247,District of Columbia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.2,Education,High school graduate
248,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.5,Income,"$25,000 - $34,999"
249,West Virginia,Percent of adults aged 18 years and older who have an overweight classification,31.3,Age (years),45 - 54
250,Massachusetts,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,24.1,Age (years),25 - 34
251,Michigan,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.6,Age (years),35 - 44
252,California,Percent of adults who engage in no leisure-time physical activity,9.1,Education,College graduate
253,Puerto Rico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,6.1,Income,Data not reported
254,Montana,Percent of adults aged 18 years and older who have obesity,33.9,Age (years),45 - 54
255,Montana,Percent of adults aged 18 years and older who have obesity,33.2,Age (years),35 - 44
256,Nebraska,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Other
257,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,33.5,Age (years),25 - 34
258,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,39.0,Age (years),65 or older
259,South Carolina,Percent of adults aged 18 years and older who have an overweight classification,41.5,Race/Ethnicity,Hispanic
260,Wyoming,Percent of adults who engage in no leisure-time physical activity,31.6,Income,"Less than $15,000"
261,Idaho,Percent of adults aged 18 years and older who have an overweight classification,35.6,Race/Ethnicity,Non-Hispanic White
262,South Carolina,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,American Indian/Alaska Native
263,Nevada,Percent of adults aged 18 years and older who have obesity,25.4,Income,"$25,000 - $34,999"
264,Missouri,Percent of adults aged 18 years and older who have an overweight classification,32.6,Age (years),25 - 34
265,Virginia,Percent of adults aged 18 years and older who have an overweight classification,28.6,Income,"Less than $15,000"
266,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,36.1,Education,Less than high school
267,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.4,Gender,Female
268,Wisconsin,Percent of adults aged 18 years and older who have obesity,28.8,Income,"$50,000 - $74,999"
269,Alabama,Percent of adults who report consuming fruit less than one time daily,49.6,Race/Ethnicity,Non-Hispanic White
270,Indiana,Percent of adults aged 18 years and older who have an overweight classification,34.0,Education,Less than high school
271,Nebraska,Percent of adults who engage in no leisure-time physical activity,29.5,Education,High school graduate
272,Idaho,Percent of adults aged 18 years and older who have an overweight classification,22.5,Race/Ethnicity,2 or more races
273,California,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
274,Arkansas,Percent of adults who engage in no leisure-time physical activity,36.7,Age (years),55 - 64
275,Utah,Percent of adults aged 18 years and older who have an overweight classification,33.4,Race/Ethnicity,Non-Hispanic White
276,Wisconsin,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Hawaiian/Pacific Islander
277,New Hampshire,Percent of adults aged 18 years and older who have obesity,26.7,Income,"$35,000 - $49,999"
278,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.9,Age (years),45 - 54
279,Utah,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.8,Race/Ethnicity,2 or more races
280,North Dakota,Percent of adults aged 18 years and older who have obesity,35.6,Education,Some college or technical school
281,Arizona,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.5,Income,"$75,000 or greater"
282,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.6,Total,Total
283,Idaho,Percent of adults who engage in no leisure-time physical activity,19.0,Age (years),25 - 34
284,West Virginia,Percent of adults aged 18 years and older who have an overweight classification,31.7,Education,Less than high school
285,Nebraska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.6,Income,"Less than $15,000"
286,Kentucky,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,18.6,Age (years),65 or older
287,Arizona,Percent of adults aged 18 years and older who have obesity,41.6,Age (years),45 - 54
288,Kansas,Percent of adults aged 18 years and older who have obesity,28.7,Age (years),25 - 34
289,Washington,Percent of adults who engage in no leisure-time physical activity,18.8,Education,Some college or technical school
290,Wisconsin,Percent of adults who engage in no leisure-time physical activity,17.1,Race/Ethnicity,2 or more races
291,Indiana,Percent of adults aged 18 years and older who have an overweight classification,27.8,Income,"Less than $15,000"
292,Arizona,Percent of adults aged 18 years and older who have obesity,31.3,Total,Total
293,National,Percent of adults aged 18 years and older who have obesity,28.8,Income,"$50,000 - $74,999"
294,Massachusetts,Percent of adults aged 18 years and older who have an overweight classification,32.8,Income,"$15,000 - $24,999"
295,Maryland,Percent of adults aged 18 years and older who have obesity,39.1,Race/Ethnicity,Non-Hispanic Black
296,Montana,Percent of adults aged 18 years and older who have an overweight classification,30.4,Gender,Female
297,Oklahoma,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),15.0,Race/Ethnicity,Asian
298,Minnesota,Percent of adults who report consuming fruit less than one time daily,31.8,Age (years),35 - 44
299,Maine,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.2,Age (years),55 - 64
300,Washington,Percent of adults who report consuming vegetables less than one time daily,15.8,Education,Some college or technical school
301,Texas,Percent of adults who report consuming fruit less than one time daily,34.8,Race/Ethnicity,American Indian/Alaska Native
302,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,28.2,Age (years),25 - 34
303,Virgin Islands,Percent of adults aged 18 years and older who have obesity,33.0,Education,Some college or technical school
304,New Hampshire,Percent of adults aged 18 years and older who have an overweight classification,34.0,Income,"$50,000 - $74,999"
305,Connecticut,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.6,Age (years),18 - 24
306,North Carolina,Percent of adults who engage in no leisure-time physical activity,32.0,Race/Ethnicity,American Indian/Alaska Native
